Source,Destination,Weight,Source_Name,Destination_Name
UCtXrwB_LowNvSMlXMLTx68Q,UCk7gZUZzKQ0957OO7h7Mwog,2,@WusterWasti,@thatsplatcat861
UCDFcu5h2SzParksEIrktQcA,UCHK9PzOOwZh2ZVQFq0rpsyw,2,@NickCannata1,@mipaloma
UCDdgYiRZjpncugOb9d1OQcg,UCKTyzfGlVKrkyFecALCRd-g,2,@zacharysherry2910,@MetaMaster-h4x
UCdcZC1vwjFwfIkEO_QKbioQ,UCqAGhhnVt4f59xbvR0eRoLA,2,@Polyfusia,@jonasgradinger5194
UCt-FCjJhS2D6Tkzo2IQvImw,UC7fJLBn0Rr97gSsaJZzJm9w,2,@olsonbryce777,@appolle
UCtTaE1v3bPOLmbkSSwJj4Gw,UCk1syZdgG_j79Ka3dD1_Gbw,2,@alecpitts6843,@PhotoPunk79
UCgMAPhPwYfaRERJyXkj7NlA,UCFk__1iexL3T5gvGcMpeHNA,2,@7thShard,@LookingGlassUniverse
UCg5_cuIz1T60KfQnGWHN4ew,UCKPgLQb1Nli3iyNRFRGpttg,2,@jefflatos7418,@mms3453
UCtPD-KU9Wrg9oXsx_M-qw8g,UCj5OW4zOC0apd1vZcdvK_tw,2,@arkman2237,@fohatenchou
UCpTYZb5b2CPzIZRFVbdBiqA,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@sonyboy2902,@IgorReminnyi
UCpQ1LfJFUorWMVv2V_OFg6A,UCKPgLQb1Nli3iyNRFRGpttg,2,@2455patrick,@mms3453
UCCw7ry01tAYWRnajxEz4wWQ,UCm4KYsmc3QdvQbctgKMe2Fw,2,@indridcold7396,@masaantic8445
UCCvlNkvRARK7SH6wJFSPdkg,UCmqiEvW5nhTH4p8wuwlCHwQ,2,@davidjones8043,@3rdworldgarage450
UCCvlNkvRARK7SH6wJFSPdkg,UCim_5dAA0e0mKnEx91EAw1g,2,@davidjones8043,@NoLimitSquad
UCtBNA5YflB7vFJm8VtsBtbw,UC8AXGgAAcxCNN3YlTu_rvAA,2,@montreal67,@djautotur4875
UCtKE4CCU76ADQ7ezTONs5xA,UCKPgLQb1Nli3iyNRFRGpttg,2,@megajohnson1984,@mms3453
UCUSOFO9Z67B5X5h-aClAWkQ,UCKPgLQb1Nli3iyNRFRGpttg,2,@markk2745,@mms3453
UCDdgYiRZjpncugOb9d1OQcg,UCs3PndQfWmTlprDuwLA-z7g,2,@zacharysherry2910,@aayushniraula5113
UC5ePhuT3S533PXmd-VcpyGA,UC7m9cDY2HYYBQmKctCsBPrw,2,@JustScrapHD,@johnbunge7248
UCgiVGU0Lak3osHgiMnNAicQ,UC7m9cDY2HYYBQmKctCsBPrw,2,@VoltsAnBolts,@johnbunge7248
UCPfH_7mu9i-JNy7m9RMGQ1w,UC-EVWjDDEmcrjFHU9UmAEIw,2,@UkrainianRunner,@whoisbarnes
